yr,mnth,hr,holiday,workingday,casual,registered,cnt,time_of_day
0,1,0,0,0,3,13,16,Malam
0,1,1,0,0,8,32,40,Malam
0,1,2,0,0,5,27,32,Malam
0,1,3,0,0,3,10,13,Malam
0,1,4,0,0,0,1,1,Malam
0,1,5,0,0,0,1,1,Pagi
0,1,6,0,0,2,0,2,Pagi
0,1,7,0,0,1,2,3,Pagi
0,1,8,0,0,1,7,8,Pagi
0,1,9,0,0,8,6,14,Pagi
0,1,10,0,0,12,24,36,Pagi
0,1,11,0,0,26,30,56,Siang
0,1,12,0,0,29,55,84,Siang
0,1,13,0,0,47,47,94,Siang
0,1,14,0,0,35,71,106,Siang
0,1,15,0,0,40,70,110,Siang
0,1,16,0,0,41,52,93,Siang
0,1,17,0,0,15,52,67,Sore
0,1,18,0,0,9,26,35,Sore
0,1,19,0,0,6,31,37,Sore
0,1,20,0,0,11,25,36,Sore
0,1,21,0,0,3,31,34,Sore
0,1,22,0,0,11,17,28,Sore
0,1,23,0,0,15,24,39,
0,1,0,0,0,4,13,17,Malam
0,1,1,0,0,1,16,17,Malam
0,1,2,0,0,1,8,9,Malam
0,1,3,0,0,2,4,6,Malam
0,1,4,0,0,2,1,3,Malam
0,1,6,0,0,0,2,2,Pagi
0,1,7,0,0,0,1,1,Pagi
0,1,8,0,0,0,8,8,Pagi
0,1,9,0,0,1,19,20,Pagi
0,1,10,0,0,7,46,53,Pagi
0,1,11,0,0,16,54,70,Siang
0,1,12,0,0,20,73,93,Siang
0,1,13,0,0,11,64,75,Siang
0,1,14,0,0,4,55,59,Siang
0,1,15,0,0,19,55,74,Siang
0,1,16,0,0,9,67,76,Siang
0,1,17,0,0,7,58,65,Sore
0,1,18,0,0,10,43,53,Sore
0,1,19,0,0,1,29,30,Sore
0,1,20,0,0,5,17,22,Sore
0,1,21,0,0,11,20,31,Sore
0,1,22,0,0,0,9,9,Sore
0,1,23,0,0,0,8,8,
0,1,0,0,1,0,5,5,Malam
0,1,1,0,1,0,2,2,Malam
0,1,4,0,1,0,1,1,Malam
0,1,5,0,1,0,3,3,Pagi
0,1,6,0,1,0,30,30,Pagi
0,1,7,0,1,1,63,64,Pagi
0,1,8,0,1,1,153,154,Pagi
0,1,9,0,1,7,81,88,Pagi
0,1,10,0,1,11,33,44,Pagi
0,1,11,0,1,10,41,51,Siang
0,1,12,0,1,13,48,61,Siang
0,1,13,0,1,8,53,61,Siang
0,1,14,0,1,11,66,77,Siang
0,1,15,0,1,14,58,72,Siang
0,1,16,0,1,9,67,76,Siang
0,1,17,0,1,11,146,157,Sore
0,1,18,0,1,9,148,157,Sore
0,1,19,0,1,8,102,110,Sore
0,1,20,0,1,3,49,52,Sore
0,1,21,0,1,3,49,52,Sore
0,1,22,0,1,0,20,20,Sore
0,1,23,0,1,1,11,12,
0,1,0,0,1,0,5,5,Malam
0,1,1,0,1,0,2,2,Malam
0,1,2,0,1,0,1,1,Malam
0,1,4,0,1,0,2,2,Malam
0,1,5,0,1,0,4,4,Pagi
0,1,6,0,1,0,36,36,Pagi
0,1,7,0,1,2,92,94,Pagi
0,1,8,0,1,2,177,179,Pagi
0,1,9,0,1,2,98,100,Pagi
0,1,10,0,1,5,37,42,Pagi
0,1,11,0,1,7,50,57,Siang
0,1,12,0,1,12,66,78,Siang
0,1,13,0,1,18,79,97,Siang
0,1,14,0,1,9,54,63,Siang
0,1,15,0,1,17,48,65,Siang
0,1,16,0,1,15,68,83,Siang
0,1,17,0,1,10,202,212,Sore
0,1,18,0,1,3,179,182,Sore
0,1,19,0,1,2,110,112,Sore
0,1,20,0,1,1,53,54,Sore
0,1,21,0,1,0,48,48,Sore
0,1,22,0,1,1,34,35,Sore
0,1,23,0,1,2,9,11,
0,1,0,0,1,0,6,6,Malam
0,1,1,0,1,0,6,6,Malam
0,1,2,0,1,0,2,2,Malam
0,1,4,0,1,0,2,2,Malam
0,1,5,0,1,0,3,3,Pagi
0,1,6,0,1,0,33,33,Pagi
0,1,7,0,1,1,87,88,Pagi
0,1,8,0,1,3,192,195,Pagi
0,1,9,0,1,6,109,115,Pagi
0,1,10,0,1,4,53,57,Pagi
0,1,11,0,1,12,34,46,Siang
0,1,12,0,1,5,74,79,Siang
0,1,13,0,1,6,65,71,Siang
0,1,14,0,1,10,52,62,Siang
0,1,15,0,1,7,55,62,Siang
0,1,16,0,1,4,85,89,Siang
0,1,17,0,1,4,186,190,Sore
0,1,18,0,1,3,166,169,Sore
0,1,19,0,1,5,127,132,Sore
0,1,20,0,1,7,82,89,Sore
0,1,21,0,1,3,40,43,Sore
0,1,22,0,1,1,41,42,Sore
0,1,23,0,1,1,18,19,
0,1,0,0,1,0,11,11,Malam
0,1,1,0,1,0,4,4,Malam
0,1,2,0,1,0,2,2,Malam
0,1,4,0,1,0,1,1,Malam
0,1,5,0,1,0,4,4,Pagi
0,1,6,0,1,0,36,36,Pagi
0,1,7,0,1,0,95,95,Pagi
0,1,8,0,1,3,216,219,Pagi
0,1,9,0,1,6,116,122,Pagi
0,1,10,0,1,3,42,45,Pagi
0,1,11,0,1,2,57,59,Siang
0,1,12,0,1,6,78,84,Siang
0,1,13,0,1,12,55,67,Siang
0,1,14,0,1,11,59,70,Siang
0,1,15,0,1,8,54,62,Siang
0,1,16,0,1,12,74,86,Siang
0,1,17,0,1,9,163,172,Sore
0,1,18,0,1,5,158,163,Sore
0,1,19,0,1,3,109,112,Sore
0,1,20,0,1,3,66,69,Sore
0,1,21,0,1,0,48,48,Sore
0,1,22,0,1,1,51,52,Sore
0,1,23,0,1,4,19,23,
0,1,0,0,1,4,13,17,Malam
0,1,1,0,1,2,5,7,Malam
0,1,2,0,1,0,1,1,Malam
0,1,4,0,1,0,1,1,Malam
0,1,5,0,1,0,5,5,Pagi
0,1,6,0,1,8,26,34,Pagi
0,1,7,0,1,8,76,84,Pagi
0,1,8,0,1,20,190,210,Pagi
0,1,9,0,1,9,125,134,Pagi
0,1,10,0,1,16,47,63,Pagi
0,1,11,0,1,19,48,67,Siang
0,1,12,0,1,9,50,59,Siang
0,1,13,0,1,9,64,73,Siang
0,1,14,0,1,7,43,50,Siang
0,1,15,0,1,9,63,72,Siang
0,1,16,0,1,5,82,87,Siang
0,1,17,0,1,9,178,187,Sore
0,1,18,0,1,7,116,123,Sore
0,1,19,0,1,3,92,95,Sore
0,1,20,0,1,1,50,51,Sore
0,1,21,0,1,0,39,39,Sore
0,1,22,0,1,2,34,36,Sore
0,1,23,0,1,1,14,15,
0,1,0,0,0,1,24,25,Malam
0,1,1,0,0,1,15,16,Malam
0,1,2,0,0,3,13,16,Malam
0,1,3,0,0,0,7,7,Malam
0,1,4,0,0,0,1,1,Malam
0,1,5,0,0,0,5,5,Pagi
0,1,6,0,0,0,2,2,Pagi
0,1,7,0,0,1,8,9,Pagi
0,1,8,0,0,0,15,15,Pagi
0,1,9,0,0,0,20,20,Pagi
0,1,10,0,0,5,56,61,Pagi
0,1,11,0,0,2,60,62,Siang
0,1,12,0,0,8,90,98,Siang
0,1,13,0,0,7,95,102,Siang
0,1,14,0,0,12,83,95,Siang
0,1,15,0,0,5,69,74,Siang
0,1,16,0,0,8,68,76,Siang
0,1,17,0,0,5,64,69,Sore
0,1,18,0,0,3,52,55,Sore
0,1,19,0,0,4,26,30,Sore
0,1,20,0,0,0,28,28,Sore
0,1,21,0,0,2,35,37,Sore
0,1,22,0,0,1,33,34,Sore
0,1,23,0,0,0,22,22,
0,1,0,0,0,1,24,25,Malam
0,1,1,0,0,0,12,12,Malam
0,1,2,0,0,0,11,11,Malam
0,1,3,0,0,0,4,4,Malam
0,1,4,0,0,0,1,1,Malam
0,1,5,0,0,0,1,1,Pagi
0,1,6,0,0,0,1,1,Pagi
0,1,7,0,0,1,5,6,Pagi
0,1,8,0,0,0,10,10,Pagi
0,1,9,0,0,0,19,19,Pagi
0,1,10,0,0,0,49,49,Pagi
0,1,11,0,0,2,47,49,Siang
0,1,12,0,0,4,79,83,Siang
0,1,13,0,0,6,69,75,Siang
0,1,14,0,0,8,64,72,Siang
0,1,15,0,0,5,77,82,Siang
0,1,16,0,0,13,79,92,Siang
0,1,17,0,0,3,59,62,Sore
0,1,18,0,0,4,44,48,Sore
0,1,19,0,0,1,40,41,Sore
0,1,20,0,0,0,38,38,Sore
0,1,21,0,0,1,19,20,Sore
0,1,22,0,0,5,10,15,Sore
0,1,23,0,0,0,6,6,
0,1,0,0,1,2,3,5,Malam
0,1,1,0,1,1,0,1,Malam
0,1,2,0,1,0,3,3,Malam
0,1,3,0,1,0,1,1,Malam
0,1,4,0,1,1,2,3,Malam
0,1,5,0,1,0,3,3,Pagi
0,1,6,0,1,0,31,31,Pagi
0,1,7,0,1,2,75,77,Pagi
0,1,8,0,1,4,184,188,Pagi
0,1,9,0,1,2,92,94,Pagi
0,1,10,0,1,0,31,31,Pagi
0,1,11,0,1,2,28,30,Siang
0,1,12,0,1,5,47,52,Siang
0,1,13,0,1,4,50,54,Siang
0,1,14,0,1,0,47,47,Siang
0,1,15,0,1,2,43,45,Siang
0,1,16,0,1,4,70,74,Siang
0,1,17,0,1,4,174,178,Sore
0,1,18,0,1,1,154,155,Sore
0,1,19,0,1,3,92,95,Sore
0,1,20,0,1,1,73,74,Sore
0,1,21,0,1,1,37,38,Sore
0,1,22,0,1,2,22,24,Sore
0,1,23,0,1,0,18,18,
0,1,0,0,1,2,10,12,Malam
0,1,1,0,1,0,3,3,Malam
0,1,2,0,1,0,3,3,Malam
0,1,5,0,1,0,6,6,Pagi
0,1,6,0,1,0,27,27,Pagi
0,1,7,0,1,2,97,99,Pagi
0,1,8,0,1,3,214,217,Pagi
0,1,9,0,1,3,127,130,Pagi
0,1,10,0,1,3,51,54,Pagi
0,1,11,0,1,4,31,35,Siang
0,1,12,0,1,2,55,57,Siang
0,1,13,0,1,6,46,52,Siang
0,1,14,0,1,3,60,63,Siang
0,1,15,0,1,2,45,47,Siang
0,1,16,0,1,4,72,76,Siang
0,1,17,0,1,6,130,136,Sore
0,1,18,0,1,1,94,95,Sore
0,1,19,0,1,0,51,51,Sore
0,1,20,0,1,0,32,32,Sore
0,1,21,0,1,0,20,20,Sore
0,1,22,0,1,1,28,29,Sore
0,1,23,0,1,1,18,19,
0,1,0,0,1,0,7,7,Malam
0,1,1,0,1,0,6,6,Malam
0,1,2,0,1,0,1,1,Malam
0,1,5,0,1,0,5,5,Pagi
0,1,6,0,1,0,16,16,Pagi
0,1,7,0,1,0,54,54,Pagi
0,1,8,0,1,3,125,128,Pagi
0,1,9,0,1,3,78,81,Pagi
0,1,10,0,1,0,39,39,Pagi
0,1,11,0,1,3,32,35,Siang
0,1,12,0,1,3,52,55,Siang
0,1,13,0,1,0,49,49,Siang
0,1,14,0,1,0,44,44,Siang
0,1,15,0,1,1,48,49,Siang
0,1,16,0,1,5,63,68,Siang
0,1,17,0,1,0,139,139,Sore
0,1,18,0,1,2,135,137,Sore
0,1,19,0,1,1,82,83,Sore
0,1,20,0,1,2,54,56,Sore
0,1,21,0,1,0,57,57,Sore
0,1,22,0,1,1,32,33,Sore
0,1,23,0,1,1,19,20,
0,1,0,0,1,1,6,7,Malam
0,1,1,0,1,0,2,2,Malam
0,1,2,0,1,0,2,2,Malam
0,1,3,0,1,0,3,3,Malam
0,1,4,0,1,0,4,4,Malam
0,1,5,0,1,0,3,3,Pagi
0,1,6,0,1,0,28,28,Pagi
0,1,7,0,1,0,72,72,Pagi
0,1,8,0,1,5,197,202,Pagi
0,1,9,0,1,2,137,139,Pagi
0,1,10,0,1,2,36,38,Pagi
0,1,11,0,1,4,33,37,Siang
0,1,12,0,1,3,49,52,Siang
0,1,13,0,1,2,81,83,Siang
0,1,14,0,1,3,39,42,Siang
0,1,15,0,1,5,55,60,Siang
0,1,16,0,1,2,76,78,Siang
0,1,17,0,1,4,158,162,Sore
0,1,18,0,1,3,141,144,Sore
0,1,19,0,1,1,98,99,Sore
0,1,20,0,1,0,64,64,Sore
0,1,21,0,1,0,40,40,Sore
0,1,22,0,1,0,30,30,Sore
0,1,23,0,1,1,14,15,
0,1,0,0,1,0,14,14,Malam
0,1,1,0,1,0,5,5,Malam
0,1,2,0,1,0,1,1,Malam
0,1,3,0,1,0,1,1,Malam
0,1,5,0,1,0,8,8,Pagi
0,1,6,0,1,0,17,17,Pagi
0,1,7,0,1,0,70,70,Pagi
0,1,8,0,1,2,156,158,Pagi
0,1,9,0,1,0,117,117,Pagi
0,1,10,0,1,4,40,44,Pagi
0,1,11,0,1,6,47,53,Siang
0,1,12,0,1,2,59,61,Siang
0,1,13,0,1,4,73,77,Siang
0,1,14,0,1,5,59,64,Siang
0,1,15,0,1,9,59,68,Siang
0,1,16,0,1,3,87,90,Siang
0,1,17,0,1,4,155,159,Sore
0,1,18,0,1,5,134,139,Sore
0,1,19,0,1,3,89,92,Sore
0,1,20,0,1,0,68,68,Sore
0,1,21,0,1,4,48,52,Sore
0,1,22,0,1,2,34,36,Sore
0,1,23,0,1,1,26,27,
0,1,0,0,0,3,25,28,Malam
0,1,1,0,0,2,18,20,Malam
0,1,2,0,0,0,12,12,Malam
0,1,3,0,0,1,7,8,Malam
0,1,4,0,0,0,5,5,Malam
0,1,5,0,0,0,1,1,Pagi
0,1,6,0,0,1,2,3,Pagi
0,1,7,0,0,1,9,10,Pagi
0,1,8,0,0,1,22,23,Pagi
0,1,9,0,0,2,31,33,Pagi
0,1,10,0,0,2,57,59,Pagi
0,1,11,0,0,18,54,72,Siang
0,1,12,0,0,15,74,89,Siang
0,1,13,0,0,21,80,101,Siang
0,1,14,0,0,26,92,118,Siang
0,1,15,0,0,21,108,129,Siang
0,1,16,0,0,33,95,128,Siang
0,1,17,0,0,29,54,83,Sore
0,1,18,0,0,15,69,84,Sore
0,1,19,0,0,14,60,74,Sore
0,1,20,0,0,6,35,41,Sore
0,1,21,0,0,6,51,57,Sore
0,1,22,0,0,0,26,26,Sore
0,1,23,0,0,5,39,44,
0,1,0,0,0,6,33,39,Malam
0,1,1,0,0,4,19,23,Malam
0,1,2,0,0,3,13,16,Malam
0,1,3,0,0,9,6,15,Malam
0,1,4,0,0,0,1,1,Malam
0,1,5,0,0,1,1,2,Pagi
0,1,6,0,0,0,1,1,Pagi
0,1,7,0,0,0,3,3,Pagi
0,1,8,0,0,0,18,18,Pagi
0,1,9,0,0,3,29,32,Pagi
0,1,10,0,0,8,71,79,Pagi
0,1,11,0,0,23,70,93,Siang
0,1,12,0,0,29,75,104,Siang
0,1,13,0,0,23,95,118,Siang
0,1,14,0,0,22,69,91,Siang
0,1,15,0,0,35,78,113,Siang
0,1,16,0,0,22,77,99,Siang
0,1,17,0,0,23,82,105,Sore
0,1,18,0,0,11,56,67,Sore
0,1,19,0,0,14,47,61,Sore
0,1,20,0,0,7,50,57,Sore
0,1,21,0,0,6,22,28,Sore
0,1,22,0,0,2,19,21,Sore
0,1,23,0,0,0,18,18,
0,1,0,1,0,1,16,17,Malam
0,1,1,1,0,1,15,16,Malam
0,1,2,1,0,0,8,8,Malam
0,1,3,1,0,0,2,2,Malam
0,1,4,1,0,1,2,3,Malam
0,1,5,1,0,0,1,1,Pagi
0,1,6,1,0,0,5,5,Pagi
